"filename", "language", "HTML", "Handlebars", "JavaScript", "SCSS", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\.prettierrc", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\check.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1003, 37, 38, 1078
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_1.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_2.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_3.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_4.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_5.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_6.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_1.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_2.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_3.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_4.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_5.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_6.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_1.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_2.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_3.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_4.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_5.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_6.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\clients\Http.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 8, 10, 109
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\controllers\login.controller.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\db copy.json", "JSON", 0, 0, 0, 0, 0, 136, 0, 0, 0, 1, 137
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\db.json", "JSON", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 180
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\index.html", "HTML", 213, 0, 0, 0, 0, 0, 0, 0, 2, 4, 219
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\footer.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 1, 4, 35
"c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\js\header.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 7, 14, 60
