Date : 2022-11-18 15:18:53
Directory : c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE
Total : 92 files,  10073 codes, 544 comments, 502 blanks, all 11119 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          5 |      5,786 |          0 |          4 |      5,790 |
| SCSS       |         31 |      1,294 |        324 |        259 |      1,877 |
| CSS        |          1 |      1,003 |         37 |         38 |      1,078 |
| JavaScript |         19 |        916 |         35 |        143 |      1,094 |
| HTML       |          5 |        826 |        148 |         10 |        984 |
| XML        |         19 |        163 |          0 |         18 |        181 |
| Handlebars |          3 |         54 |          0 |          0 |         54 |
| Markdown   |          9 |         31 |          0 |         30 |         61 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         92 |     10,073 |        544 |        502 |     11,119 |
| assets                                                                                                                |         20 |      1,166 |         37 |         56 |      1,259 |
| assets\css                                                                                                            |          1 |      1,003 |         37 |         38 |      1,078 |
| assets\products                                                                                                       |         18 |        162 |          0 |         18 |        180 |
| assets\products\Consolas                                                                                              |          6 |         54 |          0 |          6 |         60 |
| assets\products\Diversos                                                                                              |          6 |         54 |          0 |          6 |         60 |
| assets\products\StarWars                                                                                              |          6 |         54 |          0 |          6 |         60 |
| clients                                                                                                               |          1 |         91 |          8 |         10 |        109 |
| controllers                                                                                                           |          1 |         23 |          0 |          3 |         26 |
| js                                                                                                                    |         13 |        720 |         27 |        100 |        847 |
| js\modules                                                                                                            |          5 |        331 |          4 |         42 |        377 |
| js\pages                                                                                                              |          4 |        248 |          2 |         23 |        273 |
| sass                                                                                                                  |         39 |      1,323 |        324 |        288 |      1,935 |
| sass\abstracts                                                                                                        |          4 |         59 |         56 |         43 |        158 |
| sass\base                                                                                                             |          7 |         84 |         47 |         25 |        156 |
| sass\components                                                                                                       |         11 |        517 |         24 |         59 |        600 |
| sass\layout                                                                                                           |          8 |        429 |         46 |         59 |        534 |
| sass\pages                                                                                                            |          2 |          4 |          3 |          5 |         12 |
| sass\themes                                                                                                           |          2 |          4 |          4 |          5 |         13 |
| sass\vendors                                                                                                          |          3 |        192 |        136 |         80 |        408 |
| services                                                                                                              |          3 |         79 |          0 |         29 |        108 |
| templates                                                                                                             |          3 |         54 |          0 |          0 |         54 |
| views                                                                                                                 |          4 |        613 |        146 |          6 |        765 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\.prettierrc                                   | JSON       |          4 |          0 |          1 |          5 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\README.md                                     | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\check.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\css\main.css                           | CSS        |      1,003 |         37 |         38 |      1,078 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_1.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_2.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_3.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_4.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_5.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Consolas\consolas_6.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_1.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_2.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_3.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_4.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_5.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\Diversos\diversos_6.svg       | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_1.svg      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_2.svg      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_3.svg      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_4.svg      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_5.svg      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\assets\products\StarWars\star-wars_6.svg      | XML        |          9 |          0 |          1 |         10 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\clients\Http.js                               | JavaScript |         91 |          8 |         10 |        109 |
| c:\Users\rdces\OneDrive\Documentos\GitHub\eCommerce_Alura-Challenge-ONE\config.js                                     | JavaScript |          3 |          0 |          1 |          4 |
